value,Number
-87,0.00011072970878086591
-86,0.00011072970878086591
-83,0.00011072970878086591
-82,0.0003321891263425977
-81,0.0006643782526851954
-80,0.0011072970878086591
-79,0.0006643782526851954
-78,0.0014394862141512569
-77,0.0014394862141512569
-76,0.0019931347580555863
-75,0.011515889713210055
-74,0.06278374487875096
-73,0.06289447458753183
-72,0.1308825157789835
-71,0.17550658841767247
-70,0.3232200199313476
-69,0.18248256007086702
-68,0.036762263315247484
-67,0.004650647768796368
-66,0.0005536485439043296
-64,0.0007751079614660613
